seq,virtual_time_s,x_m,y_m,action,channel,result
5,14.0,44.62,5.87,measure,1,no_signal
7,20.0,44.62,5.87,measure,2,no_signal
9,26.0,44.62,5.87,measure,3,no_signal
11,32.0,44.62,5.87,measure,4,no_signal
13,38.0,44.62,5.87,measure,5,direction
15,44.0,44.62,5.87,measure,6,no_signal
17,50.0,44.62,5.87,measure,7,direction
19,56.0,44.62,5.87,measure,8,no_signal
21,62.0,44.62,5.87,measure,9,direction
23,68.0,44.62,5.87,measure,10,no_signal
25,74.0,44.62,5.87,measure,11,no_signal
27,80.0,44.62,5.87,measure,12,no_signal
29,86.0,44.62,5.87,measure,13,no_signal
31,92.0,44.62,5.87,measure,14,no_signal
33,98.0,44.62,5.87,measure,15,no_signal
35,104.0,44.62,5.87,measure,16,no_signal
37,110.0,44.62,5.87,measure,17,direction
39,116.0,44.62,5.87,measure,18,no_signal
41,122.0,44.62,5.87,measure,19,no_signal
43,128.0,44.62,5.87,measure,20,no_signal
49,354.0,-766.52,748.88,measure,7,direction
51,360.0,-766.52,748.88,measure,17,direction
53,366.0,-766.52,748.88,measure,1,no_signal
55,372.0,-766.52,748.88,measure,2,no_signal
57,378.0,-766.52,748.88,measure,3,direction
59,384.0,-766.52,748.88,measure,4,no_signal
61,390.0,-766.52,748.88,measure,6,no_signal
63,396.0,-766.52,748.88,measure,8,direction
65,402.0,-766.52,748.88,measure,10,no_signal
67,408.0,-766.52,748.88,measure,11,no_signal
69,414.0,-766.52,748.88,measure,12,no_signal
71,420.0,-766.52,748.88,measure,13,no_signal
73,426.0,-766.52,748.88,measure,14,no_signal
75,432.0,-766.52,748.88,measure,15,no_signal
77,438.0,-766.52,748.88,measure,16,no_signal
79,444.0,-766.52,748.88,measure,18,no_signal
81,450.0,-766.52,748.88,measure,19,no_signal
83,456.0,-766.52,748.88,measure,20,no_signal
87,501.524,-963.92,739.65,measure,17,direction
89,507.524,-963.92,739.65,measure,1,no_signal
91,513.524,-963.92,739.65,measure,2,no_signal
93,519.524,-963.92,739.65,measure,4,no_signal
95,525.524,-963.92,739.65,measure,6,no_signal
97,531.524,-963.92,739.65,measure,10,no_signal
99,537.524,-963.92,739.65,measure,11,no_signal
101,543.524,-963.92,739.65,measure,12,no_signal
103,549.524,-963.92,739.65,measure,13,no_signal
105,555.524,-963.92,739.65,measure,14,no_signal
107,561.524,-963.92,739.65,measure,15,no_signal
109,567.524,-963.92,739.65,measure,16,no_signal
111,573.524,-963.92,739.65,measure,18,no_signal
113,579.524,-963.92,739.65,measure,19,no_signal
115,585.524,-963.92,739.65,measure,20,no_signal
117,685.125,-946.14,266.98,clear,17,success
119,774.517,-1267.32,1.08,measure,8,direction
121,780.517,-1267.32,1.08,measure,1,direction
123,786.517,-1267.32,1.08,measure,2,no_signal
125,792.517,-1267.32,1.08,measure,4,no_signal
127,798.517,-1267.32,1.08,measure,6,no_signal
129,804.517,-1267.32,1.08,measure,10,no_signal
131,810.517,-1267.32,1.08,measure,11,no_signal
133,816.517,-1267.32,1.08,measure,12,no_signal
135,822.517,-1267.32,1.08,measure,13,no_signal
137,828.517,-1267.32,1.08,measure,14,no_signal
139,834.517,-1267.32,1.08,measure,15,no_signal
141,840.517,-1267.32,1.08,measure,16,no_signal
143,846.517,-1267.32,1.08,measure,18,no_signal
145,852.517,-1267.32,1.08,measure,19,no_signal
147,858.517,-1267.32,1.08,measure,20,no_signal
150,962.121,-1122.51,-464.96,measure,1,direction
152,968.121,-1122.51,-464.96,measure,2,no_signal
154,974.121,-1122.51,-464.96,measure,4,no_signal
156,980.121,-1122.51,-464.96,measure,6,no_signal
158,986.121,-1122.51,-464.96,measure,10,no_signal
160,992.121,-1122.51,-464.96,measure,11,no_signal
162,998.121,-1122.51,-464.96,measure,12,no_signal
164,1004.121,-1122.51,-464.96,measure,13,no_signal
166,1010.121,-1122.51,-464.96,measure,14,no_signal
168,1016.121,-1122.51,-464.96,measure,15,no_signal
170,1022.121,-1122.51,-464.96,measure,16,no_signal
172,1028.121,-1122.51,-464.96,measure,18,no_signal
174,1034.121,-1122.51,-464.96,measure,19,direction
176,1040.121,-1122.51,-464.96,measure,20,no_signal
179,1142.51,-1609.16,-447.84,clear,1,success
181,1298.942,-1682.64,305.74,clear,8,success
183,1643.807,-471.58,1490.68,measure,7,direction
185,1649.807,-471.58,1490.68,measure,3,direction
187,1655.807,-471.58,1490.68,measure,2,no_signal
189,1661.807,-471.58,1490.68,measure,4,no_signal
191,1667.807,-471.58,1490.68,measure,6,no_signal
193,1673.807,-471.58,1490.68,measure,10,no_signal
195,1679.807,-471.58,1490.68,measure,11,no_signal
197,1685.807,-471.58,1490.68,measure,12,no_signal
199,1691.807,-471.58,1490.68,measure,13,no_signal
201,1697.807,-471.58,1490.68,measure,14,no_signal
203,1703.807,-471.58,1490.68,measure,15,no_signal
