seq,virtual_time_s,x_m,y_m,action,channel,result
5,14.0,44.62,5.87,measure,1,no_signal
7,20.0,44.62,5.87,measure,2,no_signal
9,26.0,44.62,5.87,measure,3,no_signal
11,32.0,44.62,5.87,measure,4,no_signal
13,38.0,44.62,5.87,measure,5,direction
15,44.0,44.62,5.87,measure,6,no_signal
17,50.0,44.62,5.87,measure,7,direction
19,56.0,44.62,5.87,measure,8,no_signal
21,62.0,44.62,5.87,measure,9,no_signal
23,68.0,44.62,5.87,measure,10,no_signal
25,74.0,44.62,5.87,measure,11,no_signal
27,80.0,44.62,5.87,measure,12,direction
29,86.0,44.62,5.87,measure,13,direction
31,92.0,44.62,5.87,measure,14,no_signal
33,98.0,44.62,5.87,measure,15,direction
35,104.0,44.62,5.87,measure,16,no_signal
37,110.0,44.62,5.87,measure,17,no_signal
39,116.0,44.62,5.87,measure,18,no_signal
41,122.0,44.62,5.87,measure,19,no_signal
43,128.0,44.62,5.87,measure,20,direction
51,379.483,-158.59,-1204.61,measure,5,no_signal
53,385.483,-158.59,-1204.61,measure,1,no_signal
55,391.483,-158.59,-1204.61,measure,2,no_signal
57,397.483,-158.59,-1204.61,measure,3,no_signal
59,403.483,-158.59,-1204.61,measure,4,direction
61,409.483,-158.59,-1204.61,measure,6,no_signal
63,415.483,-158.59,-1204.61,measure,8,no_signal
65,421.483,-158.59,-1204.61,measure,9,no_signal
67,427.483,-158.59,-1204.61,measure,10,no_signal
69,433.483,-158.59,-1204.61,measure,11,direction
71,439.483,-158.59,-1204.61,measure,14,no_signal
73,445.483,-158.59,-1204.61,measure,16,direction
75,451.483,-158.59,-1204.61,measure,17,no_signal
77,457.483,-158.59,-1204.61,measure,18,no_signal
79,463.483,-158.59,-1204.61,measure,19,no_signal
83,669.483,740.66,-767.18,measure,5,direction
85,675.483,740.66,-767.18,measure,11,direction
87,681.483,740.66,-767.18,measure,13,direction
89,687.483,740.66,-767.18,measure,16,direction
91,693.483,740.66,-767.18,measure,1,no_signal
93,699.483,740.66,-767.18,measure,2,no_signal
95,705.483,740.66,-767.18,measure,3,no_signal
97,711.483,740.66,-767.18,measure,6,no_signal
99,717.483,740.66,-767.18,measure,8,no_signal
101,723.483,740.66,-767.18,measure,9,no_signal
103,729.483,740.66,-767.18,measure,10,no_signal
105,735.483,740.66,-767.18,measure,14,no_signal
107,741.483,740.66,-767.18,measure,17,no_signal
109,747.483,740.66,-767.18,measure,18,no_signal
111,753.483,740.66,-767.18,measure,19,no_signal
113,818.668,1035.33,-794.43,measure,13,direction
115,824.668,1035.33,-794.43,measure,5,direction
117,830.668,1035.33,-794.43,measure,1,no_signal
119,836.668,1035.33,-794.43,measure,2,no_signal
121,842.668,1035.33,-794.43,measure,3,no_signal
123,848.668,1035.33,-794.43,measure,6,no_signal
125,854.668,1035.33,-794.43,measure,8,no_signal
127,860.668,1035.33,-794.43,measure,9,no_signal
129,866.668,1035.33,-794.43,measure,10,no_signal
131,872.668,1035.33,-794.43,measure,14,no_signal
133,878.668,1035.33,-794.43,measure,17,no_signal
135,884.668,1035.33,-794.43,measure,18,no_signal
137,890.668,1035.33,-794.43,measure,19,no_signal
139,994.13,1011.49,-302.7,clear,5,success
141,1150.157,1738.3,-117.1,measure,13,direction
143,1156.157,1738.3,-117.1,measure,1,no_signal
145,1162.157,1738.3,-117.1,measure,2,no_signal
147,1168.157,1738.3,-117.1,measure,3,no_signal
149,1174.157,1738.3,-117.1,measure,6,no_signal
151,1180.157,1738.3,-117.1,measure,8,no_signal
153,1186.157,1738.3,-117.1,measure,9,no_signal
155,1192.157,1738.3,-117.1,measure,10,no_signal
157,1198.157,1738.3,-117.1,measure,14,no_signal
159,1204.157,1738.3,-117.1,measure,17,no_signal
161,1210.157,1738.3,-117.1,measure,18,no_signal
163,1216.157,1738.3,-117.1,measure,19,no_signal
165,1281.001,1483.18,39.25,clear,13,success
167,1394.473,1205.66,499.4,measure,15,no_signal
169,1400.473,1205.66,499.4,measure,1,no_signal
171,1406.473,1205.66,499.4,measure,2,no_signal
173,1412.473,1205.66,499.4,measure,3,no_signal
175,1418.473,1205.66,499.4,measure,6,no_signal
177,1424.473,1205.66,499.4,measure,8,no_signal
179,1430.473,1205.66,499.4,measure,9,no_signal
181,1436.473,1205.66,499.4,measure,10,no_signal
183,1442.473,1205.66,499.4,measure,14,no_signal
185,1448.473,1205.66,499.4,measure,17,no_signal
187,1454.473,1205.66,499.4,measure,18,no_signal
189,1460.473,1205.66,499.4,measure,19,no_signal
191,1718.955,158.59,1204.61,measure,7,direction
193,1724.955,158.59,1204.61,measure,15,direction
195,1730.955,158.59,1204.61,measure,12,direction
197,1736.955,158.59,1204.61,measure,20,direction
199,1742.955,158.59,1204.61,measure,1,no_signal
201,1748.955,158.59,1204.61,measure,2,no_signal
203,1754.955,158.59,1204.61,measure,3,no_signal
