seq,virtual_time_s,channel,action,result,x_m,y_m,svd_deg
5,14.0,1,measure,no_signal,44.62,5.87,
7,20.0,2,measure,direction,44.62,5.87,228.67
9,26.0,3,measure,direction,44.62,5.87,139.41
11,32.0,4,measure,no_signal,44.62,5.87,
13,38.0,5,measure,direction,44.62,5.87,167.27
15,44.0,6,measure,direction,44.62,5.87,90.97
17,50.0,7,measure,no_signal,44.62,5.87,
19,56.0,8,measure,direction,44.62,5.87,106.15
21,62.0,9,measure,direction,44.62,5.87,167.86
23,68.0,10,measure,no_signal,44.62,5.87,
25,74.0,11,measure,no_signal,44.62,5.87,
27,80.0,12,measure,direction,44.62,5.87,110.8
29,86.0,13,measure,direction,44.62,5.87,150.76
31,92.0,14,measure,direction,44.62,5.87,9.59
33,98.0,15,measure,no_signal,44.62,5.87,
35,104.0,16,measure,direction,44.62,5.87,139.19
37,110.0,17,measure,no_signal,44.62,5.87,
39,116.0,18,measure,direction,44.62,5.87,1.42
41,122.0,19,measure,no_signal,44.62,5.87,
43,128.0,20,measure,direction,44.62,5.87,324.62
51,354.0,2,measure,direction,-76.67,-1087.42,155.62
53,360.0,20,measure,direction,-76.67,-1087.42,29.96
55,366.0,9,measure,direction,-76.67,-1087.42,95.36
57,372.0,18,measure,no_signal,-76.67,-1087.42,
59,378.0,1,measure,no_signal,-76.67,-1087.42,
61,384.0,4,measure,no_signal,-76.67,-1087.42,
63,390.0,7,measure,no_signal,-76.67,-1087.42,
65,396.0,10,measure,no_signal,-76.67,-1087.42,
67,402.0,11,measure,no_signal,-76.67,-1087.42,
69,408.0,15,measure,no_signal,-76.67,-1087.42,
71,414.0,17,measure,no_signal,-76.67,-1087.42,
73,420.0,19,measure,no_signal,-76.67,-1087.42,
75,426.0,5,measure,direction,-76.67,-1087.42,110.54
79,460.597,2,measure,direction,-158.59,-1204.61,142.66
81,466.597,1,measure,no_signal,-158.59,-1204.61,
83,472.597,4,measure,no_signal,-158.59,-1204.61,
85,478.597,7,measure,no_signal,-158.59,-1204.61,
87,484.597,10,measure,no_signal,-158.59,-1204.61,
89,490.597,11,measure,no_signal,-158.59,-1204.61,
91,496.597,15,measure,no_signal,-158.59,-1204.61,
93,502.597,17,measure,no_signal,-158.59,-1204.61,
95,508.597,19,measure,no_signal,-158.59,-1204.61,
97,643.718,2,clear,success,-675.28,-809.23,
99,762.597,5,measure,direction,-1122.51,-464.96,45.21
101,768.597,13,measure,direction,-1122.51,-464.96,83.59
103,774.597,3,measure,direction,-1122.51,-464.96,35.77
105,780.597,16,measure,direction,-1122.51,-464.96,82.76
107,786.597,1,measure,no_signal,-1122.51,-464.96,
109,792.597,4,measure,no_signal,-1122.51,-464.96,
111,798.597,7,measure,direction,-1122.51,-464.96,112.03
113,804.597,10,measure,no_signal,-1122.51,-464.96,
115,810.597,11,measure,no_signal,-1122.51,-464.96,
117,816.597,15,measure,no_signal,-1122.51,-464.96,
119,822.597,17,measure,no_signal,-1122.51,-464.96,
121,828.597,19,measure,no_signal,-1122.51,-464.96,
125,1034.597,7,measure,direction,-1961.47,79.24,13.98
127,1040.597,16,measure,direction,-1961.47,79.24,37.08
129,1046.597,1,measure,no_signal,-1961.47,79.24,
131,1052.597,4,measure,no_signal,-1961.47,79.24,
133,1058.597,10,measure,no_signal,-1961.47,79.24,
135,1064.597,11,measure,no_signal,-1961.47,79.24,
137,1070.597,15,measure,no_signal,-1961.47,79.24,
139,1076.597,17,measure,no_signal,-1961.47,79.24,
141,1082.597,19,measure,no_signal,-1961.47,79.24,
144,1204.787,7,clear,success,-1394.61,227.61,
146,1296.426,13,measure,direction,-1299.24,645.05,350.16
148,1302.426,16,measure,direction,-1299.24,645.05,30.05
150,1308.426,12,measure,direction,-1299.24,645.05,356.14
152,1314.426,8,measure,direction,-1299.24,645.05,23.35
154,1320.426,6,measure,no_signal,-1299.24,645.05,
156,1326.426,1,measure,no_signal,-1299.24,645.05,
158,1332.426,4,measure,no_signal,-1299.24,645.05,
160,1338.426,10,measure,no_signal,-1299.24,645.05,
162,1344.426,11,measure,no_signal,-1299.24,645.05,
164,1350.426,15,measure,direction,-1299.24,645.05,44.44
166,1356.426,17,measure,no_signal,-1299.24,645.05,
168,1362.426,19,measure,no_signal,-1299.24,645.05,
171,1428.298,13,clear,success,-1000.48,586.92,
173,1465.706,16,measure,direction,-963.92,739.65,79.61
175,1471.706,8,measure,direction,-963.92,739.65,27.37
177,1477.706,6,measure,direction,-963.92,739.65,351.96
179,1483.706,12,measure,direction,-963.92,739.65,348.36
181,1489.706,1,measure,no_signal,-963.92,739.65,
183,1495.706,4,measure,no_signal,-963.92,739.65,
185,1501.706,10,measure,no_signal,-963.92,739.65,
187,1507.706,11,measure,no_signal,-963.92,739.65,
189,1513.706,17,measure,no_signal,-963.92,739.65,
191,1519.706,19,measure,no_signal,-963.92,739.65,
193,1545.378,16,clear,success,-946.24,841.48,
195,1705.695,15,measure,direction,-1031.0,1608.4,353.15
197,1711.695,8,measure,direction,-1031.0,1608.4,325.57
199,1717.695,1,measure,no_signal,-1031.0,1608.4,
201,1723.695,4,measure,no_signal,-1031.0,1608.4,
203,1729.695,10,measure,no_signal,-1031.0,1608.4,
205,1735.695,11,measure,no_signal,-1031.0,1608.4,
207,1741.695,17,measure,no_signal,-1031.0,1608.4,
209,1747.695,19,measure,no_signal,-1031.0,1608.4,
211,1898.261,15,measure,direction,-342.18,1827.51,255.28
213,1904.261,8,measure,direction,-342.18,1827.51,275.15
215,1910.261,1,measure,no_signal,-342.18,1827.51,
217,1916.261,4,measure,no_signal,-342.18,1827.51,
219,1922.261,10,measure,no_signal,-342.18,1827.51,
221,1928.261,11,measure,no_signal,-342.18,1827.51,
223,1934.261,17,measure,no_signal,-342.18,1827.51,
225,1940.261,19,measure,no_signal,-342.18,1827.51,
227,2004.354,15,clear,success,-426.01,1544.18,
229,2103.98,8,clear,success,-268.84,1097.92,
231,2306.753,5,clear,success,-528.02,143.63,
233,2383.169,9,clear,success,-184.06,47.73,
235,2420.831,3,clear,success,-188.39,210.98,
237,2499.581,12,clear,success,-167.58,579.14,
239,2547.138,6,clear,success,44.14,600.39,
241,2676.129,14,measure,direction,158.59,1204.61,271.89
243,2682.129,18,measure,no_signal,158.59,1204.61,
245,2688.129,1,measure,no_signal,158.59,1204.61,
247,2694.129,4,measure,no_signal,158.59,1204.61,
249,2700.129,10,measure,no_signal,158.59,1204.61,
251,2706.129,11,measure,no_signal,158.59,1204.61,
253,2712.129,17,measure,no_signal,158.59,1204.61,
255,2718.129,19,measure,no_signal,158.59,1204.61,
257,2913.07,18,measure,direction,929.77,658.94,269.49
259,2919.07,1,measure,no_signal,929.77,658.94,
261,2925.07,4,measure,no_signal,929.77,658.94,
263,2931.07,10,measure,no_signal,929.77,658.94,
265,2937.07,11,measure,direction,929.77,658.94,344.44
267,2943.07,17,measure,no_signal,929.77,658.94,
269,2949.07,19,measure,no_signal,929.77,658.94,
272,3095.07,11,measure,direction,1607.66,833.5,205.21
274,3101.07,1,measure,no_signal,1607.66,833.5,
276,3107.07,4,measure,no_signal,1607.66,833.5,
278,3113.07,10,measure,no_signal,1607.66,833.5,
280,3119.07,17,measure,no_signal,1607.66,833.5,
282,3125.07,19,measure,no_signal,1607.66,833.5,
284,3237.116,11,clear,success,1126.08,599.94,
286,3268.761,1,measure,no_signal,1205.66,499.4,
288,3274.761,4,measure,no_signal,1205.66,499.4,
290,3280.761,10,measure,no_signal,1205.66,499.4,
292,3286.761,17,measure,no_signal,1205.66,499.4,
294,3292.761,19,measure,no_signal,1205.66,499.4,
296,3405.919,18,clear,success,932.92,32.42,
298,3486.972,20,measure,direction,1033.16,-329.21,231.89
300,3492.972,1,measure,no_signal,1033.16,-329.21,
302,3498.972,4,measure,no_signal,1033.16,-329.21,
304,3504.972,10,measure,no_signal,1033.16,-329.21,
306,3510.972,17,measure,no_signal,1033.16,-329.21,
308,3516.972,19,measure,no_signal,1033.16,-329.21,
310,3616.018,20,measure,direction,1035.33,-794.43,127.03
312,3680.871,20,clear,success,855.75,-555.04,
314,3861.535,14,clear,success,197.73,26.73,
