seq,virtual_time_s,channel,action,result,x_m,y_m,svd_deg
5,14.0,1,measure,no_signal,44.62,5.87,
7,20.0,2,measure,no_signal,44.62,5.87,
9,26.0,3,measure,no_signal,44.62,5.87,
11,32.0,4,measure,no_signal,44.62,5.87,
13,38.0,5,measure,direction,44.62,5.87,295.24
15,44.0,6,measure,no_signal,44.62,5.87,
17,50.0,7,measure,direction,44.62,5.87,102.51
19,56.0,8,measure,no_signal,44.62,5.87,
21,62.0,9,measure,direction,44.62,5.87,8.9
23,68.0,10,measure,no_signal,44.62,5.87,
25,74.0,11,measure,no_signal,44.62,5.87,
27,80.0,12,measure,no_signal,44.62,5.87,
29,86.0,13,measure,no_signal,44.62,5.87,
31,92.0,14,measure,no_signal,44.62,5.87,
33,98.0,15,measure,no_signal,44.62,5.87,
35,104.0,16,measure,no_signal,44.62,5.87,
37,110.0,17,measure,direction,44.62,5.87,165.15
39,116.0,18,measure,no_signal,44.62,5.87,
41,122.0,19,measure,no_signal,44.62,5.87,
43,128.0,20,measure,no_signal,44.62,5.87,
49,354.0,7,measure,direction,-766.52,748.88,46.28
51,360.0,17,measure,direction,-766.52,748.88,251.07
53,366.0,1,measure,no_signal,-766.52,748.88,
55,372.0,2,measure,no_signal,-766.52,748.88,
57,378.0,3,measure,direction,-766.52,748.88,26.43
59,384.0,4,measure,no_signal,-766.52,748.88,
61,390.0,6,measure,no_signal,-766.52,748.88,
63,396.0,8,measure,direction,-766.52,748.88,206.19
65,402.0,10,measure,no_signal,-766.52,748.88,
67,408.0,11,measure,no_signal,-766.52,748.88,
69,414.0,12,measure,no_signal,-766.52,748.88,
71,420.0,13,measure,no_signal,-766.52,748.88,
73,426.0,14,measure,no_signal,-766.52,748.88,
75,432.0,15,measure,no_signal,-766.52,748.88,
77,438.0,16,measure,no_signal,-766.52,748.88,
79,444.0,18,measure,no_signal,-766.52,748.88,
81,450.0,19,measure,no_signal,-766.52,748.88,
83,456.0,20,measure,no_signal,-766.52,748.88,
87,501.524,17,measure,direction,-963.92,739.65,273.05
89,507.524,1,measure,no_signal,-963.92,739.65,
91,513.524,2,measure,no_signal,-963.92,739.65,
93,519.524,4,measure,no_signal,-963.92,739.65,
95,525.524,6,measure,no_signal,-963.92,739.65,
97,531.524,10,measure,no_signal,-963.92,739.65,
99,537.524,11,measure,no_signal,-963.92,739.65,
101,543.524,12,measure,no_signal,-963.92,739.65,
103,549.524,13,measure,no_signal,-963.92,739.65,
105,555.524,14,measure,no_signal,-963.92,739.65,
107,561.524,15,measure,no_signal,-963.92,739.65,
109,567.524,16,measure,no_signal,-963.92,739.65,
111,573.524,18,measure,no_signal,-963.92,739.65,
113,579.524,19,measure,no_signal,-963.92,739.65,
115,585.524,20,measure,no_signal,-963.92,739.65,
117,685.125,17,clear,success,-946.14,266.98,
119,774.517,8,measure,direction,-1267.32,1.08,143.88
121,780.517,1,measure,direction,-1267.32,1.08,231.89
123,786.517,2,measure,no_signal,-1267.32,1.08,
125,792.517,4,measure,no_signal,-1267.32,1.08,
127,798.517,6,measure,no_signal,-1267.32,1.08,
129,804.517,10,measure,no_signal,-1267.32,1.08,
131,810.517,11,measure,no_signal,-1267.32,1.08,
133,816.517,12,measure,no_signal,-1267.32,1.08,
135,822.517,13,measure,no_signal,-1267.32,1.08,
137,828.517,14,measure,no_signal,-1267.32,1.08,
139,834.517,15,measure,no_signal,-1267.32,1.08,
141,840.517,16,measure,no_signal,-1267.32,1.08,
143,846.517,18,measure,no_signal,-1267.32,1.08,
145,852.517,19,measure,no_signal,-1267.32,1.08,
147,858.517,20,measure,no_signal,-1267.32,1.08,
150,962.121,1,measure,direction,-1122.51,-464.96,177.06
152,968.121,2,measure,no_signal,-1122.51,-464.96,
154,974.121,4,measure,no_signal,-1122.51,-464.96,
156,980.121,6,measure,no_signal,-1122.51,-464.96,
158,986.121,10,measure,no_signal,-1122.51,-464.96,
160,992.121,11,measure,no_signal,-1122.51,-464.96,
162,998.121,12,measure,no_signal,-1122.51,-464.96,
164,1004.121,13,measure,no_signal,-1122.51,-464.96,
166,1010.121,14,measure,no_signal,-1122.51,-464.96,
168,1016.121,15,measure,no_signal,-1122.51,-464.96,
170,1022.121,16,measure,no_signal,-1122.51,-464.96,
172,1028.121,18,measure,no_signal,-1122.51,-464.96,
174,1034.121,19,measure,direction,-1122.51,-464.96,294.44
176,1040.121,20,measure,no_signal,-1122.51,-464.96,
179,1142.51,1,clear,success,-1609.16,-447.84,
181,1298.942,8,clear,success,-1682.64,305.74,
183,1643.807,7,measure,direction,-471.58,1490.68,322.35
185,1649.807,3,measure,direction,-471.58,1490.68,327.53
187,1655.807,2,measure,no_signal,-471.58,1490.68,
189,1661.807,4,measure,no_signal,-471.58,1490.68,
191,1667.807,6,measure,no_signal,-471.58,1490.68,
193,1673.807,10,measure,no_signal,-471.58,1490.68,
195,1679.807,11,measure,no_signal,-471.58,1490.68,
